Soil Type,Average Temperature (°C),Average Rainfall (mm),Sunlight Hours (hours),Historical Crop Yields,Predicted Crop Type,Predicted Crop Yield,Confidence Score for Prediction
Sandy soil,27.8720386609208,2649.3420165256,8.51403237513725,4.51233586131898,Pulses,High,0.73044094428249
Black soil,17.1759733689984,1109.26820745577,11.7930028565629,3.92686260809106,Commercial,Low,0.782724882038911
Loamy soil,19.1452193764959,2376.95859592961,6.64263401861056,1.80676022397953,Cereal,Medium,0.932076929819488
Sandy soil,21.633753690464,1305.17890633935,6.1002036842699,3.39325659712529,Fruit/Vegetable,Medium,0.784940911191487
Red soil,15.6005112036451,2762.84298362018,7.24350422156662,1.92612293914448,Pulses,Medium,0.921673768201385
Sandy soil,20.8018425643517,853.552838631148,8.3862899889202,4.18140999237411,Cereal,High,0.674314322232886
Black soil,26.6509460738985,1334.62016679519,9.34850256105269,4.82408023733107,Cereal,Medium,0.758537443479439
Clayey soil,39.4474188160375,1885.21222713602,9.95955955153299,2.28170400184441,Commercial,High,0.730863741207839
Red soil,38.4364959441748,1258.98037455238,5.6146519270553,4.72330085777309,Commercial,High,0.706536448725764
Loamy soil,28.2299620266764,1604.90070516841,7.10448615818343,1.29567938255181,Cereal,Low,0.72844909894741
Loamy soil,32.6494236522874,2515.54343889939,6.19695817398801,4.53374174317655,Pulses,Low,0.553027362781158
Red soil,19.0548092211226,1718.37765310526,11.2256203458614,1.99692262034015,Cereal,High,0.643025414566884
Clayey soil,37.5735114897825,1371.46596626227,6.40295459044282,4.9079596307873,Pulses,Low,0.624412253490316
Black soil,21.6297727067731,506.009712543098,7.00935866652767,4.01521853753894,Cereal,Low,0.787696029111396
Sandy soil,26.0494048801183,825.155201584338,7.7131876447886,4.86100636159197,Pulses,Medium,0.768942611973748
Red soil,23.0320368592073,2745.51249863004,7.58918949059907,3.46744200906654,Pulses,Low,0.591099859083463
Red soil,34.3450493426501,1390.20370640273,11.1875162702935,4.00927466094849,Cereal,Medium,0.820281884654554
Loamy soil,36.5531769522711,1485.07221697564,8.62264956103556,3.01907023012714,Pulses,Medium,0.956730340766646
Black soil,35.7961006223331,1182.62244363083,10.2955621569396,1.35063533942172,Fruit/Vegetable,Low,0.858379358056818
Clayey soil,15.3288314744836,2317.04238202826,10.5430517630345,3.14590802501915,Cereal,Low,0.807719168606671
Loamy soil,29.5420654655467,1167.82413777035,7.41194507776528,1.02133355563646,Fruit/Vegetable,Medium,0.934133328016025
Sandy soil,15.8844337388726,693.790020381692,8.76415227358536,2.73612694244409,Pulses,Medium,0.568273981806848
Red soil,19.9334189207832,2563.67482362664,4.94492067942388,2.50856443861756,Pulses,Medium,0.880621516014988
Clayey soil,16.7998625439658,2816.12029402622,8.32353662380194,3.61766529917245,Fruit/Vegetable,Low,0.786062805974242
Red soil,31.1305670442793,1129.19216087484,6.8192340209078,4.22406628437937,Fruit/Vegetable,High,0.81436347038419
Clayey soil,20.808718331872,1604.50589716462,9.54329130615765,3.26579008032648,Pulses,Medium,0.666862261865885
Black soil,30.7602352921598,1364.46817626781,5.54985705687538,1.91099831183233,Pulses,High,0.734982986527445
Sandy soil,27.2988979410742,2262.94898677774,5.40538209587162,4.28344896828838,Fruit/Vegetable,High,0.720362397011916
Red soil,22.2375785080444,1865.95078017767,4.29422832745045,4.44089304313155,Fruit/Vegetable,Medium,0.943388662119786
Black soil,15.5595696313044,2738.18934504344,10.7255450844006,2.98142939322205,Fruit/Vegetable,Medium,0.725521277919446
Clayey soil,26.331179065579,1046.48939489599,6.12805180828723,4.06477802604622,Fruit/Vegetable,Low,0.58903016368922
Sandy soil,30.0891401909826,1349.54824507267,4.58141081780757,1.72399839658212,Commercial,High,0.692643227288459
Clayey soil,18.7437874499754,2109.57456771132,8.1685749577167,3.17388751061682,Cereal,High,0.529347216124014
Red soil,39.2151881940817,2838.27825586084,11.5721104842089,1.01966247745692,Fruit/Vegetable,Low,0.888305716535644
Clayey soil,16.2496470911322,2815.50759767683,5.90037707286219,3.43554058727755,Pulses,Medium,0.962373884618279
Black soil,29.8272489182306,1925.50038461919,6.33789378375631,1.88981634808241,Cereal,High,0.778711829908706
Clayey soil,31.2232602423892,2222.93422870404,7.80147985428711,3.70074674661111,Commercial,Medium,0.956177289346425
Sandy soil,20.5249659915506,1820.89549433367,8.09879448718997,1.44204859208697,Commercial,Low,0.528740416337679
Sandy soil,23.8591086996483,1524.18151734414,11.9723783451669,1.37689955503185,Pulses,Medium,0.908215843174499
Red soil,15.2677955285268,800.473324878076,6.48948112018541,2.90566562371021,Cereal,Low,0.879340409920508
Clayey soil,28.6448850070576,1205.20910267212,6.0352187336476,4.20367409811245,Commercial,Medium,0.617526964882004
Loamy soil,29.5740377188337,2703.80709166756,10.0791080270901,2.85172123086996,Cereal,High,0.732777623489766
Loamy soil,17.7619374550136,1273.73432706465,4.05948216899804,3.71483499778733,Pulses,High,0.611493190079792
Black soil,34.599829427135,1668.78095933865,5.5388528816167,2.00614627665255,Commercial,Medium,0.834065146557076
Sandy soil,32.0090642197827,2655.60426973161,9.21637657485471,1.85867287315124,Pulses,Medium,0.555926284517364
Black soil,18.5670549688437,2727.73553246467,9.59524564096921,2.9685426415086,Fruit/Vegetable,Medium,0.975413822953124
